SV_TAXONOMY	TAXONOMY_NAME	RG_REFERENCE	RG_NAME	SV_REFERENCE	SV_NAME	SV_DESCRIPTION	SL_REFERENCE	LC_REFERENCE	PHONE_NUMBER	WEBSITE	EMAIL_ADDRESS	WHEELCHAIR_ACCESSIBLE	LANGUAGE	HOURS	STREET_NUMBER	STREET_NAME	STREET_TYPE	STREET_DIRECTION	CITY	PROVINCE	POSTAL_CODE	LATITUDE	LONGITUDE	811_LINK
LN-9300	Walk In Clinics	RG000121	Care Point Medical Centres	SV060915	Care Point Medical Centre Walk-in Clinic	Provides non-emergency health care services on a walk-in basis; no appointment is necessary. May offer evening, Saturday, Sunday, and statutory holiday hours. See specific location for details.	SL070933	LC052779	6044681202	http://www.carepoint.ca		Y	English (other languages available please see website)	Hours are subject to change, please visit the website for the current schedule.	2929	Barnet	Highway		Coquitlam	BC	V3B 5R5	 49.277083	-122.800408	http://find.healthlinkbc.ca/search.aspx?d=SL070933
LN-9300	Walk In Clinics	RG000121	Care Point Medical Centres	SV060915	Care Point Medical Centre Walk-in Clinic	Provides non-emergency health care services on a walk-in basis; no appointment is necessary. May offer evening, Saturday, Sunday, and statutory holiday hours. See specific location for details.	SL070941	LC004874	6044360800	http://www.cbi.ca/web/carepoint		Y	English (other languages available please see website)	Hours are subject to change, please visit the website for the current schedule.	5138	Joyce	Street		Vancouver	BC	V5R 4H1	 49.237824	-123.03206	http://find.healthlinkbc.ca/search.aspx?d=SL070941
LN-9300	Walk In Clinics	RG000121	Care Point Medical Centres	SV060915	Care Point Medical Centre Walk-in Clinic	Provides non-emergency health care services on a walk-in basis; no appointment is necessary. May offer evening, Saturday, Sunday, and statutory holiday hours. See specific location for details.	SL070938	LC004876	6046815338	http://www.carepoint.ca		N	English (other languages available please see website)	Mon - Wed, 8:30 a.m. - 9 p.m.;  Thu - Sat, 9 a.m. - 9 p.m.; Sun, 9 a.m. - 8 p.m.  Hours are subject to change.  Please call to confirm.	1175	Denman	Street		Vancouver	BC	V6G 2N1	 49.287962	-123.14079	http://find.healthlinkbc.ca/search.aspx?d=SL070938
LN-9300	Walk In Clinics	RG000123	FirstCare Medical Centre	SV054993	FirstCare Medical Centre	Provides non-emergency health care services on a walk-in basis; no appointment is necessary. Evening clinic hours offered Monday - Friday. Saturday and Sunday hours are also available.	SL061411	LC004872	6048711535			Y	English	Mon - Wed, 9 a.m. - 9 p.m.; Thu - Fri, 9 a.m. - 5 p.m.; Sat, 10 a.m. - 5 p.m.; Sun, 10 a.m. - 4 p.m. Please call to confirm hours.	2590	Commercial	Drive		Vancouver	BC	V5N 4C2	 49.261542	-123.069778	http://find.healthlinkbc.ca/search.aspx?d=SL061411
LN-9300	Walk In Clinics	RG000125	Goldcity Walk-In Clinic	SV054629	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis. Saturday hours also available.	SL060379	LC053411	2509926006		goldcitywalkinclinic@yahoo.ca	Y	English	Mon - Sat, 2 p.m. - 6 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	458	Reid	Street		Quesnel	BC	V2J 2M6	 52.98001	-122.497053	http://find.healthlinkbc.ca/search.aspx?d=SL060379
LN-9300	Walk In Clinics	RG000128	Bevan Avenue Walk-In Clinic	SV058035	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis. Saturday and statutory holiday hours also available.	SL065358	LC004880	2506564177			Y	English	Mon - Fri, 8 a.m. - 5:30 p.m.; Sat, Statutory Holidays, 10 a.m. - 4 p.m.; Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	2379	Bevan	Avenue		Sidney	BC	V8L 4M9	 48.647652	-123.401503	http://find.healthlinkbc.ca/search.aspx?d=SL065358
LN-9300	Walk In Clinics	RG000131	Burnside Family Medical Clinic	SV055321	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis. Includes a family practice. Evenings hours offered Monday - Friday. Saturday, Sunday and statutory holiday hours also available.	SL061835	LC000437	2503814353	http://www.burnsideclinic.ca	Walkin@BurnsideClinic.ca	N	English	Mon - Fri, 7:30 a.m. - 9 p.m.; Sat - Sun, Holidays, 9 a.m. - 6 p.m.; Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	101	Burnside		W	Victoria	BC	V9A 1B7	 48.45081	-123.387382	http://find.healthlinkbc.ca/search.aspx?d=SL061835
LN-9300	Walk In Clinics	RG000132	Colwood Medical Treatment Centre	SV055315	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis. Evening hours offered Monday - Thursday. Saturday, Sunday and statutory holiday hours also available.	SL061823	LC004888	2504788833			N	English	Mon - Thu, 9 a.m. - 8 p.m.; Fri - Sun, Statutory Holidays, 9 a.m. - 5:30 p.m.; Closed Christmas Day, New Year's Day and Canada Day (July 1st). Hours are subject to change. Please call to confirm.	1910	Sooke	Road		Victoria	BC	V9B 1V7	 48.441188	-123.470525	http://find.healthlinkbc.ca/search.aspx?d=SL061823
LN-9300	Walk In Clinics	RG000134	Synergy Health Management	SV058049	Walk-in Clinic	Provides non-emergency health care services on a walk-in basis.	SL065359	LC004890	2507277795	http://synergyhealthmanagement.com/	julie@synergyhealthmanagement.com	Y	English	Mon - Fri, 8 a.m. - 4:30 p.m.; Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	3960	Quadra	Street		Victoria	BC	V8X 4A3	 48.471386	-123.366887	http://find.healthlinkbc.ca/search.aspx?d=SL065359
LN-9300	Walk In Clinics	RG000136	Saanich Plaza Medical Clinic	SV055141	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis. Evening hours offered Monday - Sunday. Saturday and Sunday hours also available.	SL061589	LC004882	2504751101			Y	English	Mon - Sun, 9 a.m. - 8:30 p.m.; Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	3544	Blanshard	Street		Victoria	BC	V8X 1W3	 48.456348	-123.374168	http://find.healthlinkbc.ca/search.aspx?d=SL061589
LN-9300	Walk In Clinics	RG000139	Gordon Head Medical Treatment Centre	SV055205	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis. Evening clinic hours offered Monday - Sunday. Statutory holiday hours also available.	SL061663	LC000448	2504774777		ghtc@telus.net	Y	English	Mon - Sun, statutory holidays, 9 a.m. - 9 p.m.; Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	1595	McKenzie	Avenue		Victoria	BC	V8N 1A4	 48.468573	-123.333124	http://find.healthlinkbc.ca/search.aspx?d=SL061663
LN-9300	Walk In Clinics	RG000140	James Bay Medical Treatment Centre	SV055171	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis. Saturday hours available.	SL061617	LC055532	2503889934			Y	English	Mon - Fri, 9 a.m. - 6 p.m.; Sat, 10 a.m. - 4 p.m.; Sun and statutory holidays closed; Please note that summer hours are sporadic due to physician availability. Please call to confirm.	230	Menzies	Street		Victoria	BC	V8V 2G7	 48.415986	-123.373591	http://find.healthlinkbc.ca/search.aspx?d=SL061617
LN-9300	Walk In Clinics	RG000141	Stein Medical Clinic	SV055003	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis.	SL061425	LC004875	6046885924	http://www.steinmedical.com		Y	English.  French, Spanish, German and Greek may also be spoken.	Mon - Fri, 8 a.m. - 5:30 p.m.	550	Burrard	Street		Vancouver	BC	V6C 2B5	 49.285956	-123.11848	http://find.healthlinkbc.ca/search.aspx?d=SL061425
LN-9300	Walk In Clinics	RG000142	Downtown Medical Centre	SV055309	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis. Services include: testing/diagnostic procedures; preventative care; health referrals; general exams. Includes a family practice.	SL061781	LC004894	2503802210			N	English	Mon - Fri, 8 a.m. - 4:30 p.m.; Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	622	Courtney	Street		Victoria	BC	V8W 1C1	 48.42349	-123.366963	http://find.healthlinkbc.ca/search.aspx?d=SL061781
LN-9300	Walk In Clinics	RG000144	Shelbourne Medical Treatment Centre	SV055139	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis. Evening hours offered Monday - Sunday. Saturday, Sunday and statutory holiday hours also available.	SL061587	LC053753	2505928485			N	English	Mon - Fri, 8 a.m. - 8:30 p.m.; Sat, Sun, Statutory Holidays, 9 a.m. - 8:30 p.m.; Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	3200	Shelbourne	Street		Victoria	BC	V8P 5G8	 48.448582	-123.333229	http://find.healthlinkbc.ca/search.aspx?d=SL061587
LN-9300	Walk In Clinics	RG000145	Lansdowne Walk-In Clinic	SV058036	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis. Evening hours offered Monday - Friday. Saturday and Sunday hours also available.	SL065360	LC000444	2505924212			N	English	Mon - Fri, 9 a.m. - 8 p.m.; Sat, 9 a.m. - 5 p.m.; Sun, 10 a.m. - 2 p.m.; Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	1641	Hillside	Avenue		Victoria	BC	V8T 5G1	 48.445104	-123.334011	http://find.healthlinkbc.ca/search.aspx?d=SL065360
LN-9300	Walk In Clinics	RG000149	Towne Centre Medical Clinic	SV055251	Walk-in Clinic	Provides non-emergency health care services on a walk-in basis, no appointment necessary. Includes a family practice. Evening clinic hours offered Monday - Friday. Saturday hours also available.	SL061707	LC057433	2507688315	http://www.townecentremedicalclinic.ca/		Y	English	Mon - Fri, 8 a.m. - 7 p.m.; Sat, 9 a.m. - 3 p.m.; Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	2475	Dobbin	Road		West Kelowna	BC	V4T 2E9	 49.828422	-119.630867	http://find.healthlinkbc.ca/search.aspx?d=SL061707
LN-9300	Walk In Clinics	RG000152	Sea To Sky Walk In Clinic	SV055005	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis. All services may not be available, please call to confirm. Evening clinic hours offered Monday - Friday. Saturday, Sunday, and statutory holiday hours are also available.	SL061429	LC004898	6048985555			Y	English	Mon - Fri, 9 a.m. - 8 p.m.;  Sat, Sun, Statutory Holidays, 10 a.m. - 4 p.m.  Hours may vary, please call to confirm.	40147	Glenalder	Place		Squamish	BC	V8B 0G2	 49.736349	-123.132852	http://find.healthlinkbc.ca/search.aspx?d=SL061429
LN-9300	Walk In Clinics	RG000153	Khatsahlano Medical Clinics	SV055043	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis. May offer evening clinic hours Monday - Friday. Saturday, Sunday, and statutory hours may also be available. Please see specific location for details.	SL061467	LC004900	6047319187	http://www.khatsclinic.ca		N	English	Mon - Fri, 8 a.m. - 8:45 p.m.; Sat - Sun, 9 a.m. - 8:45 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	2685	Broadway		W	Vancouver	BC	V6K 2G2	 49.264068	-123.166009	http://find.healthlinkbc.ca/search.aspx?d=SL061467
LN-9300	Walk In Clinics	RG000153	Khatsahlano Medical Clinics	SV055043	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis. May offer evening clinic hours Monday - Friday. Saturday, Sunday, and statutory hours may also be available. Please see specific location for details.	SL061473	LC004902	6047319187	http://www.khatsclinic.ca		N	English	Mon - Fri, 8 a.m. - 8 p.m.; Sat, 10 a.m. - 4 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	920	Seymour	Street		Vancouver	BC	V6B 3L9	 49.279298	-123.120938	http://find.healthlinkbc.ca/search.aspx?d=SL061473
LN-9300	Walk In Clinics	RG000153	Khatsahlano Medical Clinics	SV058370	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis. Saturday and Sunday hours also available.	SL067361	LC055810	2502209999			N	English	Mon - Fri, 8 a.m. - 6 p.m.; Sat, Sun, 10 a.m. - 4 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	230	Cook	Street		Victoria	BC	V8V 3X3	 48.413923	-123.356852	http://find.healthlinkbc.ca/search.aspx?d=SL067361
LN-9300	Walk In Clinics	RG000156	Commercial Drive Walk-In Clinic	SV055059	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis.. Evening clinic hours offered Tuesday and Thursday.	SL061493	LC004925	6042555922			Y	English	Tue, Thu,  2 p.m. - 8 p.m.; Fri, 9 a.m. - 3 p.m.  Hours may vary, please call to confirm.	1515	Commercial	Drive		Vancouver	BC	V5L 3Y1	 49.271111	-123.069667	http://find.healthlinkbc.ca/search.aspx?d=SL061493
LN-9300	Walk In Clinics	RG000158	The Fort St. John Medical Clinic	SV058018	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis. Saturday hours also available.	SL066652	LC055622	2507856677	www.fsjmedicalclinic.com		N	English	Mon - Fri, 8 a.m. - 5 p.m.; Sat, 9 a.m. - noon. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	10011	96	Street		Fort St. John	BC	V1J 3P3	 56.246766	-120.840232	http://find.healthlinkbc.ca/search.aspx?d=SL066652
LN-9300	Walk In Clinics	RG000159	Denning Health Group	SV055405	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis. Weekend hours offered.	SL061977	LC004934	6045724558	http://www.denninghealth.ca	info@denninghealth.ca	N	English, Russian	Opening hours:  Mon - Fri, 8 a.m.; Sat/Sun, 9 a.m.; Closing hours subject to change or check the website for doctors' schedules.	10153	King George	Boulevard		Surrey	BC	V3T 2W1	 49.186983	-122.845564	http://find.healthlinkbc.ca/search.aspx?d=SL061977
LN-9300	Walk In Clinics	RG000160	Whistler Medical Clinic	SV055173	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis. Provides referrals to other health services. Weekend clinic hours offered.	SL061619	LC000823	6049323977		whistlermc@telus.net	Y		Mon - Fri, 8:30 a.m. - 5 p.m.; Sat - Sun, 9 a.m. -4 p.m.; evening hours vary during the winter months.	4380	Lorimer	Road		Whistler	BC	V0N 1B4	 50.120463	-122.954906	http://find.healthlinkbc.ca/search.aspx?d=SL061619
LN-9300	Walk In Clinics	RG000163	University Village Medical and Dental Clinic	SV055181	University Village Medical and Dental Clinic	Provides general medical and dental services by appointment and on a walk-in basis. Saturday clinic hours offered.	SL061639	LC004943	6042222273	www.universityvillageclinic.com	universityvillageclinic@shaw.ca	N	English	Mon - Fri, 8 a.m. - 6 p.m.; Sat, 11 a.m. - 4 p.m.	2155	Allison	Road		Vancouver	BC	V6T 1T5	 49.266463	-123.242117	http://find.healthlinkbc.ca/search.aspx?d=SL061639
LN-9300	Walk In Clinics	RG000164	Yaletown Medical Clinic	SV055193	Yaletown Medical Clinic	Provides general medical services on a walk-in basis. Services include counselling, dietician services, acupuncture and wellness packages. Evening clinic hours offered Monday - Friday. Weekend and statutory holiday hours also available.	SL061653	LC004954	6046332474	http://www.yaletownmedicalclinic.ca		Y	English	Mon - Fri, 9 a.m. - 9 p.m.; Sat, Sun, Statutory Holidays, 10 a.m. - 6 p.m.	1296	Pacific	Boulevard		Vancouver	BC	V6Z 2V1	 49.273447	-123.12342	http://find.healthlinkbc.ca/search.aspx?d=SL061653
LN-9300	Walk In Clinics	RG000165	Granville Medical Clinic	SV055197	Granville Medical Clinic	Provides general medical examinations and walk-in clinic services. Evening clinic hours offered Monday - Friday. Saturday and Sunday hours also available.	SL061657	LC004952	6047334700	http://www.granvillemedical.ca		Y	English	Mon - Fri,  8 a.m. - 8 p.m.; Sat, Sun, 10 a.m. - 4 p.m.	2578	Granville	Street		Vancouver	BC	V6H 3G8	 49.262912	-123.138565	http://find.healthlinkbc.ca/search.aspx?d=SL061657
LN-9300	Walk In Clinics	RG000167	Kits Medical Clinic	SV055207	Kits Medical Clinic	Provides non-emergency health care services on a walk-in basis. Appointments are preferred, but not required.	SL061665	LC053933	6047372699			Y	English	Mon - Thu, 9 a.m. - 5 p.m.	2678	Broadway		W	Vancouver	BC	V6K 2G3	 49.263958	-123.165712	http://find.healthlinkbc.ca/search.aspx?d=SL061665
LN-9300	Walk In Clinics	RG000169	Park Royal Village Medical Centre	SV055647	Park Royal Village Medical Centre	Provides non-emergency health care services on a walk-in basis; no appointment is necessary. Evening clinic hours offered Monday - Friday. Saturday and Sunday hours also available.	SL062255	LC054205	6049227372			N	English	Mon - Fri, 9 a.m. - 9 p.m.; Sat, 9 a.m. - 5 p.m.; Sun, 10 a.m. - 4 p.m.	925	Main	Street		West Vancouver	BC	V7T 2Z3	 49.325187	-123.142718	http://find.healthlinkbc.ca/search.aspx?d=SL062255
LN-9300	Walk In Clinics	RG002757	Gitsegukla Health Centre	SV055103	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis.	SL061545	LC053643	2508495231			N	English	Mon - Fri, 9 a.m. - 5 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	162	Howe	Street		Hazelton	BC	V0J 2R0	 55.233333	-127.666667	http://find.healthlinkbc.ca/search.aspx?d=SL061545
LN-9300	Walk In Clinics	RG002781	Lax Kw'alaams Band	SV055970	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis. After hours emergency care also available.	SL063025	LC054265	2506253331			Y	English	Mon - Fri, 8:30 - noon; 1 p.m. - 4 p.m.; After hours emergency care also available. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	1602	Legaic	Street		Laxkwalaams	BC	V0V 1H0	 54.548708	-130.438013	http://find.healthlinkbc.ca/search.aspx?d=SL063025
LN-9300	Walk In Clinics	RG002836	Kitkatla Band Council	SV055919	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis to the community of Kitkatla. Services include maternal/infant care, reproductive health, preventative care, and general exams.	SL062773	LC054255	2508482254		hdkns@gitxaalanation.com	N	English	Mon - Fri, 8:30 a.m. - noon; 1 p.m. - 4:30 p.m.  Nurses: Mon - Fri, 8:30 a.m.- 5 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	120	View	Street		Kitkatla	BC	V0V 1C0	 53.794162	-130.432456	http://find.healthlinkbc.ca/search.aspx?d=SL062773
LN-9300	Walk In Clinics	RG002916	Tl'azt'en Nation	SV055811	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis.	SL062469	LC053115	2506483350		tlazten@tlazten.bc.ca	Y	English	Mon - Thu, 8 a.m. - 4 p.m.; Bi-weekly Fri, 8 a.m. - 3:30 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	4676	Tl'azt'en Main	Road		Fort St. James	BC	V0J 1P0	 54.444841	-124.254341	http://find.healthlinkbc.ca/search.aspx?d=SL062469
LN-9300	Walk In Clinics	RG003057	Old Masset Village Council	SV055125	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis.	SL061571	LC053843	2506263911			Y	English	Mon - Fri, 8:30 a.m. - 4:30 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	347	Eagle	Street		Masset	BC	V0T 1M0	 54.033859	-132.17507	http://find.healthlinkbc.ca/search.aspx?d=SL061571
LN-9300	Walk In Clinics	RG003083	Saik'uz First Nation	SV055923	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis to the Stoney Creek First Nations Village. Services includes prenatal care, preventative care, and general exams.	SL062785	LC054257	2505679773			N	English	Wed - Fri, 8:30 a.m. -noon; 12:30 p.m. - 4 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.	135	Joseph	Street		Stoney Creek	BC	V0J 3A1	 54.029957	-124.009552	http://find.healthlinkbc.ca/search.aspx?d=SL062785
LN-9300	Walk In Clinics	RG004202	Southside Health and Wellness Centre Society	SV054675	Walk-In Clinic	Provides non-emergency health care services on a walk-in basis. Booked appointments are also available.	SL060571	LC053025	2506943270	http://www.southsidewellness.ca	info@southsidewellness.ca	Y	English	Mon - Fri, 8:30 a.m. - 4:30 p.m.; closed from noon - 1 p.m.; closed Sat, Sun, and stat holidays. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to closing time.	27920	Wellness	Way		Burns Lake	BC	V0J 1E2	 54.229167	-125.7625	http://find.healthlinkbc.ca/search.aspx?d=SL060571
LN-9300	Walk In Clinics	RG005425	Seabird Island Indian Band	SV059293	Seabird Island Doctors' Office	Provides primary health care services to the large First Nations population in the Fraser Valley.	SL068459	LC053751	6047962165	http://www.seabirdisland.ca/page/doctors-office		Y	English	Appointments available Mon - Fri.  Walk-in clinic, Tue, 1 p.m. - 4 p.m.	2895	Chowat	Road		Agassiz	BC	V0M 1A0	 49.255136	-121.73034	http://find.healthlinkbc.ca/search.aspx?d=SL068459
LN-9300	Walk In Clinics	RG005645	Vancouver Native Health Society (VNHS)	SV054212	Vancouver Native Health Walk-in Clinic	Provides health care services on a first-come, first-served basis for residents of the downtown eastside and Aboriginal People from anywhere. Evening clinic hours offered Monday - Thursday. Saturday and Sunday hours also available.	SL056475	LC005390	6042559766	http://www.vnhs.net	clinic@vnhs.net	Y	English	Mon - Thu, 9:30 a.m. - 8:30 p.m.; Fri - Sun, 9:30 a.m. - 5 p.m.; Closed Statutory Holidays.	449	Hastings	Street	E	Vancouver	BC	V6A 1P5	 49.281238	-123.09433	http://find.healthlinkbc.ca/search.aspx?d=SL056475
